h,sentiment_score,sntmnt,body,sentiment_score2,sntmnt2
"
'The country rejected Jeremy Corbyn's brand of extreme and chaotic socialism' - Telegraph readers react to the election result
",-0.5,Negative,"It was the night that†Britain turned blue. The night that the Labour Red Wall came crumbling down and the country saw a seismic shift in the direction of its politics. Boris Johnson has the handsome majority he so desperately†craved and Jeremy Corbyn has led his party to one of Labour's worst ever election performances.† But while politicians, analysts, pundits and commentators continue to weigh in with their verdicts, what did our readers make of the 2019 general election? What does this result mean for the future of British democracy and what does this all mean for Brexit?† Below, our readers have shared their†verdicts on an election that will live long in the memory of many. Read on to see what your fellow readers have had to say and then share your own opinions in the comments section below.† @Clive (Milton Keynes):  ""Very relieved. But stepping back, it's interesting to note that early in 2010 we had our first coalition government in decades, followed by small majority or minority governments. Now†in December†2019†at the very end of the decade, we're finally seeing a Government with a strong majority once again. The political history books may well call this The Lost Decade. History happening before our eyes."" ",0,Neutral
"
Why the election result gives UK tech sector a silver lining in the Brexit cloud
",-0.125,Negative,"In a general election in which parties delivered their political messaging with memes and spent an unprecedented amount on digital ads, technology has unquestionably been front and centre of a bitterly-fought contest that looks set to see the Conservatives emerge victorious.† The exit poll predicted that the†party would win 368 seats, giving†it a majority of 86, a larger victory than many had predicted. Business leaders have celebrated the outcome and the pound rose to an 18-month high overnight as the markets responded positively to the election result, which is predicted to end the deadlock which has paralysed the country over Brexit.† ",0,Neutral
"
Zac Goldsmith, Jo Swinson and Chuka Umunna: Who are the winners and losers in the general election?
",-0.375,Negative,"The result of the†2019 election has proven to be no less surprising for the Conservatives than the last election, as they†made up for their previously†lost majority by being on track to win a stonking one. Who are the big winners and losers of the night so far?† ",0,Neutral
"
Boris Johnson offers Christmas message of unity after winning historic landslide†
",0.75,Positive,"Boris Johnson has pledged to use his 80-seat majority to ""heal""ù Britain once he has brought ""closure""ù to the Brexit turmoil of the past three years. Signalling a distinct shift towards the centre ground, the Prime Minister made unity the theme of a muted victory speech in Downing Street, promising to repay the trust of all those who had voted Tory for the first time. He promised 2020 would be a year of ""prosperity, growth and hope""ù on Friday and signed off by saying: ""Thank you all very much, and Happy Christmas.""ù Mr Johnson's victory provided an immediate jolt to the economy, with the FTSE 250 index hitting a record high as the value of businesses in the FTSE 350 increased by £33billion. The pound had one of its best days on record as it soared by almost 3 per cent within minutes of Thursday night's exit polls, and the Bank of England believes Mr Johnson's win will unlock £400billion of investment that companies have been holding back. ",0,Neutral
"
Revealed: The political big beasts at risk as election campaign enters final hours
",0,Neutral,"Labour's recent gains in the polls have slashed the projected Conservative majority in the general election to 28 seats, putting†dozens of constituencies up for grabs, according to YouGov's updated MRP model. The original†model released in November predicted Labour would lose votes in 621 constituencies, as the Tories romped to a 68-seat majority. But with Jeremy Corbyn's party making some headway over recent weeks, the pollster now predicts there is†a swathe of seats where it remains all to play for. Their latest model - the last to be released before election day on 12 December -†has the Conservatives picking up 22 seats to finish with a†majority of 28. ""This would be the best and worst results respectively for each party since the 80s,"" said YouGov's political research manager, Chris Curtis. ",0.25,Positive
"
War chest offered to 'Red Wall' MPs as Boris Johnson bids to keep 2019 intake onside
",0,Neutral,"Conservative MPs in former Labour strongholds have been offered a funding war chest to help them keep their seats at the next election as Boris Johnson battles to keep their loyalty. A swathe of so-called ""Red Wall""†seats in the north of England, many of which had only ever voted Labour, fell to the Conservatives at last year's election. Tory bosses have set up a crowdfund to establish campaign infrastructure in those seats before the next election in a bid to maintain the party's gains. The move continues a charm offensive by Downing Street to maintain the support of the new cohort of MPs following backbench rebellions on both Brexit and the Coronavirus Act. Amanda Milling, the Conservative Party co-chairman, will announce the new fund on Saturday, the first day of the virtual Conservative conference. It will be funded entirely by members and supporters, not from the party's existing coffers, and will be open after the announcement. ",0.375,Positive
"
Exclusive: Boris Johnson vows to put 'Generation Buy' on the housing ladder
",-0.75,Negative,"Boris Johnson has promised to create ""Generation Buy"" with low-deposit mortgages to help get young people onto the housing ladder. The Prime Minister said he would ""fix"" the problem of unaffordable deposits that has caused millions of people to put their dreams of home ownership on hold. Mr Johnson told The Telegraph ahead of the virtual Conservative Party conference that he was determined to press ahead with a ""massive domestic agenda"" and deliver on manifesto promises, despite the coronavirus crisis. He also insisted he remained a low-tax, libertarian Conservative who would pay for the cost of the pandemic through a ""free market-led recovery"" and dismissed talk of rivalry between him and Rishi Sunak, the Chancellor, as ""untrue"". In a wide-ranging interview, Mr Johnson also addressed criticism of his Covid restrictions by saying there was a ""moral imperative"" to save lives, as well as discussing the chances of a Brexit deal†and revealing how he gets his baby son Wilfred to sleep. Speaking in his Downing Street office, the Prime Minister outlined his plans for a successor to Margaret Thatcher's Right to Buy policy as he explained how he would solve the problem of ""Generation Rent"". He said: ""I think a huge, huge number of people feel totally excluded from capitalism, from the idea of home ownership, which is so vital for our society. And we're going to fix that - 'Generation Buy' is what we're going for."" ",0,Neutral
"
European Commission president calls for Brexit talks to be intensified before no deal deadline
",-0.25,Negative,"Ursula von der Leyen said that the UK and EU should ""intensify""ù trade negotiations after it was announced the president of the European Commission will hold urgent Brexit talks with Boris Johnson on Saturday.† News of the video conference call came as the last scheduled round of UK-EU trade negotiations ended in Brussels. It led to guarded hope among EU diplomatic sources that no deal could be averted. One official warned against being ""optimistic""ù but said Brussels was ""determined"" to get an agreement.† ""The Prime Minister will be speaking to President von der Leyen tomorrow afternoon to take stock of negotiations and discuss next steps,""ù a Number 10 spokesman said.†† Mrs von der Leyen said, ""We should not forget that we have made progress on many many different fields but of course the most difficult ones are still completely open and this is mainly also the question of the level playing field because this is a question of fairness."" She added, ""Where there is a will, there is a way so I think we should intensify the negotiations."" During the crucial round the UK submitted a string of legal texts, including on the vexed issues of the level playing field guarantees, especially on state aid, and fisheries.† British compromise offers of a three year transition period for fishing quotas, with the UK share increasing over time,† and on state aid fell short of EU expectations this week. France, in particular, is pushing hard for†a permanent quota system. David Frost, the UK's chief negotiator, said ""familiar differences"" remained.† ""On fisheries the gap between us is unfortunately very large and, without further realism and flexibility from the EU risks being impossible to bridge,"" he warned.† Michel Barnier said there had been ""positive new developments"" in police cooperation and aviation safety but ""persistant serious divergences on matters of major importance for the European Union.""† Mr†Barnier told EU lawmakers that talks would continue next week in London and in Brussels the following week.† Angela Merkel said after an EU summit in Brussels, ""As long as negotiations are ongoing I remain optimistic, but obviously I cannot tell you that there has been a breakthrough. It will be a crucial phase over the next few days."" ""We shall wait, wait and see whether we can make progress in these next few days. We are in a constructive mood. A lot will be determined by what Britain wants and what Britain does not want. It is up to Britain to decide this freely,"" the German Chancellor said. ""I've always been cautiously optimistic,""ù said Mark Rutte, the prime minister of the Netherlands, who said there was a ""geopolitical necessity""ù for a deal. ""We need to stick together,""ù he said.† ""It is a good sign I would say,""ù said one EU diplomatic source, ""It is the right time for them to touch base. The EU needs to hear at the highest level that the UK government is serious about a deal.""ù British negotiators will hope Mr Johnson will be able to convince Brussels to enter intensive and secret† ""tunnel talks""ù in the run up to the October 15 EU summit.† Mrs von der Leyen said she didn't like the word ""tunnel"" but added there were less than 100 days before the end of the Brexit transition period.† The European Commission will expect Mr Johnson to show a willingness to compromise on his red lines. It will demand concessions from Mr Johnson, including a stricter system of enforcement of subsidy law than the UK has offered. It also wants to guarantee that the British rules evolve over time to ensure continued fair competition with the EU.† It is the first time Mr Johnson and Mrs von der Leyen will hold Brexit talks since June. Then Mr Johnson urged the EU to put ""a tiger in the tank"" of the negotiations during a discussion that renewed optimism in London and Brussels.† It has long been expected that the two leaders would be brought in to find a political solution to the hardest to solve issues. The pound rose by as much 0.5 percent on the hopes it would bring a breakthrough. The EU's deadline to finalise the deal is the end of October. Meeting that would give EU governments enough time to ratify the agreement before the end of the transition period on December 31 and avoid no deal, which would mean trading on less lucrative WTO terms.† Michel Barnier will meet Mrs Merkel in Berlin on Monday. Germany holds the rotating six month Presidency of the EU, handing it an influential role as Brexit enters its endgame.† Robert Abela, the prime minister of Malta, spoke to Mr Barnier on the margins of today's European Council summit after the EU negotiator held talks with David Frost.† Mr Abela said he explained the ""importance of having close relations between the two sides as well as of safeguarding the EU's interest.¨ The trade negotiations were overshadowed on Thursday after the commission launched legal action against the UK for breaching the Brexit Withdrawal Agreement with its Internal Market Bill.† The candidate to be the EU's next financial services commissioner said on Friday that Brussels will refuse the City of London access to the Single Market from next year, even if there is a trade deal,†unless the UK sets out its plans to diverge from the bloc's financial rules. ",0,Neutral
"
Market report: Sterling goes on a rollercoaster ride
",0,Neutral,"Fears the year could end without a Brexit trade deal set sterling on a rollercoaster ride yesterday. First the pound was down about 0.6pc against the dollar after the EU indicated it would start legal proceedings against the UK over Boris Johnson's plan to breach terms of its Brexit divorce deal and break international law. Then sterling clawed back its losses, rising to be up 0.4pc against the dollar at $1.2978, after a Financial Times reporter tweeted that officials in London saw the chance of a deal having risen from 30pc to 70pc. However, it sank again after an EU official was reported as saying there were ""no landing zones""ù yet in trade talks with Brussels.† ""It does seem like there are tentative signs of ""òprogress' despite all the chuntering around the Internal Market Bill, which looks increasingly like a sideshow to the main event of trade talks,""ù Neil Wilson of Markets.com said. Meanwhile, oil prices tanked more than 5pc as the rise in Covid-19 cases worldwide dampened the outlook for demand, and after a rise in Opec output last month, particularly from Libya and Iran. Standard Chartered analysts said they now expect global demand to fall 9m barrels per day this year and recover by only 5.6m barrels per day next year, leaving the 2021 average slightly below the 2016 average. Elsewhere, the FTSE 100 medical technology giant Smith and Nephew said its underlying revenue fell about 4pc in the third quarter of the year, rebounding from a massive decline in the three months before.† Improvement was strongest in its orthopaedics business as more people started having elective surgery again, the company said. The shares climbed 20p to £15.37. Stobart Group, the owner of Southend Airport, flew up 0.8p to 20.5p after it insisted it was ""well positioned""ù to benefit from an economic recovery, only weeks after easyJet decided to stop flying from the site. Of the tiddlers, litigation funder Burford Capital reported pre-tax profits of nearly $198m for the six months to June, a 15pc slump from a year earlier. The Aim-listed company said the Covid-19 lockdown had hurt its ability to fund new cases as the amount of money it committed to fund claims fell 74pc to $195m.† The Guernsey-registered firm said the litigation market has now stabilised and it expects a ""significant volume""ù of disputes arising from the pandemic to reach the courts in the coming years.† Burford makes money by funding clients' legal costs in return for a slice of their court winnings if the cases succeed. It confirmed this week that it expects its shares to be dual listed on the New York Stock Exchange from Oct 19, giving it access to a deeper pool of investors. Shares rose 46.8p to 671.8p yesterday.† ",-0.75,Negative
"
Brussels launches EU lawsuit against UK over Brexit treaty breaches
",0,Neutral,"Brussels on Thursday launched legal action against Britain for passing the Internal Market Bill, which overrides the Brexit divorce treaty, and got unlikely support from Nigel Farage.† ""Whilst the EU always acts in bad faith, all it is doing†is asking Boris to keep his promises,""ù the Brexit Party leader said, before attacking Boris Johnson for signing up to the Withdrawal Agreement in the first place.† Brussels had set Britain an end-of-month deadline to withdraw clauses in the Bill relating to state aid and export declarations for Northern Ireland, which it said broke the Withdrawal Agreement and international law.† ""The problematic provisions have not been removed,""ù Ursula von der Leyen, the president of the European Commission, said, adding that this ""draft bill is by its very nature, a breach of the obligation of good faith, laid down in the Withdrawal Agreement"".† Mrs von der Leyen said the European Commission had sent a letter of formal notice to the Government on Thursday morning. Britain has a month to respond. ""We need to create a legal safety net to protect the integrity of the UK's internal market [...] and protect the gains from the peace process,""ù a UK spokesman said, and ""we will reply to the letter in due course.""ù The letter is the first step in an ""infringement proceeding""ù, which can ultimately end in the European Court of Justice in Luxembourg. The EU's top court could then impose hefty, daily fines until the law was changed.† ",-1,Negative
"
UK strikes fishing deal with Norway and offers fisheries 'transition period' to EU
",-0.125,Negative,"Britain offered Brussels a three-year transition period on fishing during trade negotiations with the EU, it emerged on Wednesday†as the Government hailed a†historic fisheries treaty with Norway.† UK negotiators submitted plans to gradually scale down EU fishermen's share of the catch in British waters from 2021 to 2024 in a bid to soothe fears over the impact of Brexit on European coastal communities.† In London, it was announced the UK had signed its first fishing agreement since leaving the EU, and its first as an independent coastal state in 40 years.† The Framework Fisheries Agreement with Norway provides a legal basis for annual negotiations on access to waters and quotas after the Brexit transition period ends on December 31.† In a tweet David Frost, the UK's chief Brexit negotiator said he was ""delighted"". ",0,Neutral
"
British car exports still face EU tariffs even if there is a Brexit trade deal
",0,Neutral,"British exports could still face EU tariffs even if there is a free trade agreement with Brussels after David Frost appeared to admit defeat in securing a key demand of the UK car industry.† The UK's chief negotiator told carmakers the EU had rejected ""in any circumstances"" a proposal that would allow assembled car parts from non-EU countries to count as ""British"" and so qualify for zero tariffs. In a letter to the car industry, seen by the BBC, Mr Frost said the EU had refused to engage with the idea and the UK ""obviously cannot insist upon it"".† Industry sources countered that Mr Frost has forcefully argued on the UK fishing industry's behalf in the trade talks, which continue this week in Brussels.† About 55 per cent of the UK's 1.06 million car exports went to the EU last year. Under the expected terms of the deal, British manufacturers will need to prove that UK-exported goods meet a threshold of British parts.† EU parts could count as British towards the threshold, expected to be about 50 percent,†but moves to extend that to countries such as Japan and Turkey have been rejected by Brussels. British moves to secure an exemption for electric cars and bikes have also been stonewalled by the EU, the BBC reported.† In June, Michel Barnier, the EU's chief negotiator (seen giving an update that month in the video below), said that giving in to British demands on ""rules of origin"" and ""cumulation"" would cost European jobs.† ""Why make it easy for UK manufacturers to source nearly all their parts from elsewhere?,"" he said, claiming that 80 percent of UK car part imports came from the EU. ",0.375,Positive
"
EU needs 'British pragmatism' to finalise agreement in Brexit trade talks, says Germany
",0,Neutral,"† The EU has always envied ""British pragmatism"", but much more is needed if there is going to be a free trade agreement with Brussels, Germany's Europe minister said on Tuesday.† In an open letter to the UK Government,†Michael Roth said†it was not helpful to ""play games"" during the negotiations and that both sides had to ""make a clean, fair break and then remain friends"". He urged the UK to compromise on some of its red lines as negotiators met in Brussels for the last scheduled round of trade negotiations. Germany currently holds the six-month rotating presidency of the EU. Mr Roth said: ""With readiness to compromise from both sides, with mutual trust and good will, a fair deal is still possible.†But it is not helpful to play games. ""The kind of deal we are after has no winners and losers. What we need now is that much-vaunted British pragmatism of which we were always a little envious. We have made progress towards consensus on many points. On others, however, we still have some way to go. It is really high time we reached agreement."" He said that, if necessary, the EU was ""well prepared"" for a no trade deal exit at the end of the transition period on December 31, even if that would be a ""huge disappointment"".†† Mr Roth warned that the Internal Market Bill†(seen being discussed by Michael Gove in the video below), which overrides parts of the Withdrawal Agreement, recklessly jeopardised the peace process and was ""casting a dark shadow"" over the ongoing negotiations. ",0.625,Positive
"
Chopper's Politics: BBC needs to hire right-wingers not 'metropolitan, left-wing,†lentil-eating, sandal-wearing' staffers, Tory MP Philip Davies says
",0,Neutral,"The BBC†needs to ""get out more"" and hire people with different opinions to replace ""Metropolitan, left-wing,†lentil-eating, sandal-wearing, beard-growing"" staffers, a senior Tory MP has said. Philip Davies, a long-standing member of the Digital, Culture, Media and Sport committee, tells today's Chopper's Politics, which you can listen to on the audio player below, that the corporation is "" basically out of tune with the rest of the country"". ",-0.375,Negative
"
Boris Johnson must realise that the Internal Market Bill will be a whole new Brexit battle
",0,Neutral,"Yet while the remainer voices of dissent may have seemed the loudest in the run up to Monday's debate, Tory Brexiteers have also been turning up the volume on the Government. Emboldened by the fact Downing Street has now ""finally woken up to""ù the ""significant""ù flaws in the exit deal agreed between the UK and EU last October, staunch leavers are now pressuring Mr Johnson to renege on more than just the Northern Ireland Protocol. As Tory MP Andrew Bridgen put it, seemingly echoing the thoughts of the European Research Group (ERG) of backbench Tories: ""We will need more than the Internal Market Bill to put right the threats of the EU's interpretation of the Withdrawal Agreement. ""We will need amendments to the Finance Bill too, otherwise we will have to enforce EU tariffs between the UK and Northern Ireland. ""This is only the opening salvo of what I hope will become a roaring thunder.""ù† On Sunday night, Sir Bernard Jenkin chaired a virtual ERG meeting, in which members not only discussed the Protocol but also their concerns over the continuing power of the European Court of Justice, state aid rules, citizens rights and the so-called ""òlevel playing field'. † The Telegraph understands that the influential group was poised to give a press conference Tuesday highlighting ""huge problems""ù with the Withdrawal Agreement in regards to ongoing financial liabilities and continuing payments to the EU, but postponed it in light of recent events. As a well-placed source put it: ""The reality is there's a lot more wrong with the Withdrawal Agreement than the Northern Ireland Protocol. If this helps to focus minds on the deal Boris struck a year ago then that is no bad thing. ""He's put the case for the rewriting of the withdrawal agreement right back in the spotlight. It creates space for Brexiteers to expose the many other flaws is the agreement to the public, to the media, to MPs and policy makers.""ù ",0.25,Positive
"
Downing Street refuses to rip up Internal Market Bill despite EU demands
",-0.375,Negative,"Brussels threatened Britain with legal action but refused to walk out of trade negotiations on Monday after the UK Government rejected EU demands for changes in the Internal Market Bill.† The European Commission had set London a deadline of midnight on Wednesday to excise provisions in the Bill relating to Northern Ireland which override the Brexit Withdrawal Agreement.† ""Those clauses will remain in that Bill,"" Michael Gove said after meeting Maro≈° ≈†efƒçoviƒç, the commission vice-president, in Brussels. Mr ≈†efƒçoviƒç told him the Bill was an ""extremely serious violation"" of the Brexit divorce treaty and international law, and that the EU would retaliate.† The Prime Minister' official spokesman said: ""The Bill has been supported by the House of Commons†(as shown in the video below) and will continue its passage through the House of Lords."" He added that there was ""no change in our position"", with the legislation providing a ""vital safety net"" for Northern Ireland.† ",0,Neutral
"
Rishi Sunak warns: 'I cannot save every business, I cannot save every job'
",1,Positive,"Rishi Sunak has warned of ""difficult decisions ahead"" as he unveiled his latest package of measures to try and prop the economy up over the coming winter.† The Chancellor warned that coronavirus and the ensuing restrictions would last ""at least"" six months, stressing this was in contrast to the Government's hope it would be ""temporary""†in March.† That is why the†Jobs Support Scheme (JSS), which is replacing the furlough scheme, will only support ""viable"" jobs that will still exist next year, he explained.† ""I cannot save every business, I cannot save every job,"" he said.† The Chancellor praised predecessors†in an apparent reference to the austerity measures since 2010 for getting the economy into a shape that meant†""when problems like this come along you can throw a lot at them"". ""I will obviously have to make similar difficult decisions in the future as we get on a path back to sustainability, but right now the priority is supporting the economy, throwing everything we have got at protecting people's jobs and that's what I will continue to do."" He added: ""It is right that the state steps in to provide the support that we have done to people around the country and the businesses that employ them - and indeed our public services. ""We are dealing with something of unprecedented scale in how many people it affects, it affects the whole country, the severity with which it affects them, and indeed it is the state that is putting restrictions on all of our activity in order to suppress the virus to our collective benefit. ""That does mean the state has a slightly different role to play versus peace time."" Follow the latest updates below. ",0,Neutral
"
Lord Frost insists EU needs to work on more realistic policy positions on Brexit
",0,Neutral,"The Prime Minister's chief†Brexit†negotiator hinted at progress in the trade talks last night, but insisted the EU still needed to be more ""realistic"" about the rules that the UK could accept. Lord Frost said the last fortnight of informal talks with Michel Barnier, his Brussels counterpart, had been ""relatively positive"", as he suggested that the EU had scaled back on some ""unrealistic ambitions"". The two sides have been at loggerheads over fishing rights in British waters and EU demands for the UK to continue following the bloc's rules on industrial subsidies. Government sources have also claimed that the EU's method of conducting the negotiations has led to ""paralysis"", with Mr Barnier insisting on slowing down talks on less contentious issues in order to focus on the most difficult areas. Mr Barnier is believed to have given ground on his previous insistence on ""parallelism"" in the talks. Lord Frost said: ""As we enter the final stages of negotiations we are all focusing on what it might take to get a trade agreement in place. † ""An agreement is still very much possible, but equally very far from certain. The last two weeks of informal talks have been relatively positive, but there remains much to be done, and time is short. ""We have been saying from the beginning of this process that we simply want a standard free trade agreement like Canada's. Sadly the EU's position has not been so straightforward and we continue to be asked to accept provisions which do not reflect the reality of the change which our exit from the EU brings. ""If the gaps in these areas are to be bridged, the EU still needs to scale back more of its unrealistic ambitions and work on more realistic policy positions. I hope this will be possible this coming week, and I and my team are ready to work as hard as necessary to move things forward.""ù On Monday, Michael Gove will take part in a meeting of the joint UK-EU committee on the Withdrawal Agreement, when he is likely to come under renewed pressure to drop provisions in the Internal Market Bill which would allow ministers to override parts of the 2019 deal. Meanwhile, the Confederation of British Industry released polling showing that three-quarters of businesses (77 per cent) favour the two sides striking a post-Brexit†trade agreement, with 18 per cent expressing no preference between a deal or no deal. Some 4 per cent favoured a no-deal outcome. Dame Carolyn Fairbairn, the CBI Director-General, who was pictured alongside Rishi Sunak, the Chancellor last week, said: ""Next week†Brexit†talks enter the eleventh hour. Now must be the time for political leadership and the spirit of compromise to shine through on both sides. A deal can and must be made. ""More than three-quarters of businesses want to see a deal that will support people's jobs and livelihoods. This matters for firms and communities across Europe.""†† † ",-0.375,Negative
"
EU feels 'tide is turning' in Brexit trade talks
",0,Neutral,"The ""tide may be turning""ù in the Brexit negotiations after the UK signalled its commitment to sealing a free trade deal with the EU, Brussels sources said on Friday. However, EU diplomats warned that the bloc would never sign up to a trade agreement while†there was ""a gun on the negotiating table""ù in the form of the Internal Market Bill.† EU and UK negotiators meet in Brussels next week for what is seen as a crucial round of talks, if a mid-October deadline to finalise the agreement and avoid no deal is to be hit.†† Negotiations were thrown into disarray by the Government's Internal Market Bill, which overrides parts of the Brexit Withdrawal Agreement. Brussels accuses the UK of breaking international law and warned that the trade talks were at stake.† Downing Street now plans to delay enshrining the Internal Market Bill until December. Government sources signalled the controversial legislation could be amended if a trade deal is agreed by the October 15 EU summit in Brussels.† ""Things have improved but there is no way the EU will sign a trade deal when a gun is still on the table,""ù an EU diplomatic source said, indicating that the Bill would have to be changed eventually.† ""We are looking for a deal and we are hearing positive noises from London but now is the time for the Brits to put the cards on the table,""ù said the source, ""nice words and mood music won't cut it.""ù Simon Coveney, the Irish Foreign Minister, told BBC Radio 4 it would be an ""enormous failure of politics and diplomacy""ù if the deal could not be agreed by the end of October deadline.† ",0.5,Positive
"
Lorry boss dismisses Gove's warning of Brexit port chaos
",0,Neutral,"Days-long lorry queues around Dover and the Channel Tunnel are highly unlikely after Brexit, the boss of a major trucking company has said. There is little danger that Government fears of a 7,000-vehicle tailback through Kent will come to pass, according to†Europa Worldwide managing director†Andrew Baxter. The trucking chief,†whose firm runs more than 400,000 shipments a year and is one of the UK's largest privately owned logistics operators, said: ""To be honest, I think this is a misconception of the logistics industry. ""Some businesses may be under-prepared. However, we currently have 99pc clarity as to what will be required in order to cross. By the time we get to January all operators will have 100pc clarity."" Cabinet Office Minister Michael Gove†warned of major disruption on Kent roads earlier this week. In a letter to operators he said that between 30pc and 50pc of trucks crossing the Channel will not be ready for new EU border requirements under a ""reasonable worst-case scenario""ù. That could lead to†queues of 7,000 port-bound lorries in Kent waiting for up to two days to cross the Channel, a Cabinet Office document†said. Mr Gove went on to tell the Commons that truck drivers will need a permit to enter†Kent. Elizabeth de Jong, a policy director at trade body Logistics UK, said earlier this week that†there is still time to prevent lengthy queuing. However, she added: ""It will be a huge challenge for the Government and industry to achieve.†The ability of traders to complete and provide the correct paperwork will be key to ensuring the continued smooth passage of goods through the UK's supply chain.""ù ",-1,Negative
"
'Passport to Kent' is latest attempt to prevent border chaos after a no-deal Brexit in January
",-0.125,Negative,"Police patrols will turn away lorries entering Kent without a special access pass to ease border chaos caused by a no-deal Brexit on January 1, the Government admitted for the first time on Wednesday.† Chancellor of the Duchy of Lancaster and Minister for the Cabinet Office Michael Gove, said police officers and number-plate recognition software would be used to enforce the Kent Access Permit once the transition period finishes at the end of this year. It would minimise the risk of huge queues tailing back from the port of Dover, he said, but critics accused him of creating an ""internal border"" in the UK. ",0,Neutral
"
Five ways businesses can prepare for Brexit
",0,Neutral,"With fewer than 100 days until the UK leaves the single market and customs union, business leaders up and down supply chains must concentrate on preparedness for Brexit. That was Michael Gove's†message†to industry groups in a leaked letter seen by The Telegraph†on Tuesday. Otherwise, the Cabinet Secretary warns, in a ""reasonable worst-case scenario""ù about 7,000 port-bound trucks in Kent could find themselves in two-day delays - or worse if there is†a winter spike in Covid-19, meaning†border staff are off sick. ""It is essential that traders act now and get ready for new formalities,""ù Mr Gove urged. While staying afloat amid the Covid†crisis has been the top priority for most firms, they also say unanswered questions - on issues such as rules of origin, the labelling of food and drink to be sold in the EU and Northern Ireland and goods moving west from Britain to Northern Ireland - are holding back their plans. So with the information available now, what can businesses do to prevent disruption and make a success of Brexit on Jan†1? To move goods into and out of the EU, from Jan†1 firms will need an economic operators registration and identification (EORI) number, and all goods imported to the UK will be subject to UK global tariffs, in addition to other new tariffs if there is no Brexit trade deal -†and possibly others even if there is an agreement. New duty rules will also apply to goods bound for the rest of the world that face EU-negotiated tariffs, although many of these have yet to be agreed. Sarah Gunton, commercial partner at Harper James solicitors, advises that firms should keep track of new foreign tariffs that may apply to their goods, review their commercial contracts to check how Brexit will affect them, consider hiring a customs agent to fill out customs declarations, and check whether they need to register for VAT in EU countries they work in. Companies should ask their suppliers if†they are stockpiling to cover potential border delays and check whether anyone in their supply chain will be raising prices to cover Brexit costs. ""Where any links in the supply chain are found to be ill-prepared for Brexit, look for alternate suppliers,""ù Gunton says. From Jan 1, a new points-based system for sponsored workers will come into effect, covering both EU and non-EU migrants. UK-based workers who are citizens of the EU, the European Economic Area or Switzerland will need to register for settled status to remain living in the UK six months after the end of the transition period. Firms should check their staff can continue to live and work legally post-Brexit - in the UK and the EU. Gunton advises that it is especially important that companies needing to replace staff with particular skill sets, such as in consultancy services and computing, should be recruited in plenty of time. ",1.875,Positive
"
What no-deal Brexit means, how it might happen, and how it might affect daily life in the UK
",0,Neutral,"Yes, although the precise nature of ""no deal"" has changed given that the United Kingdom left the European Union on 31 January 2020 under the renegotiated terms of withdrawal agreed by Boris Johnson and ratified by Parliament. Since then, the United Kingdom has been busy working to agree its future relationship, in line with the guidelines set out under the Political Declaration. With no extension to this period in limbo, which simulates the terms of still being in the EU while legally acknowledging its independence, the UK will be fully out of the EU by the end of 2020.† That means, unless a future relationship is agreed, the UK will leave the EU after December 31 without any agreed framework in place. The Withdrawal Agreement will still be place, so issues like the Irish border and the so-called ""divorce bill"" will be settled under its terms, but other matters will not have been so summarily nailed down. In other words, the original ""no deal"" may not be possible, but what is now known as ""no deal"" might better be viewed as a ""no trade deal"" exit.† The European Union is adamant that there is no such thing as a ""managed"" no deal†- †fearful that making a no deal†look too comfortable risks turning it into a self-fulfilling prophecy. ",0.25,Positive
"
Brexit Day 2020: When is the UK due to leave the EU and how will it happen?
",0,Neutral,"Yes, Boris Johnson has already delivered a British exit from the EU, and can rightly boast of having got Brexit ""done"". But the job is not yet over - the Prime Minister still needs to negotiate the UK's future relationship with the EU. Consider January 31 2020 the symbolic, technical and legal†Brexit, with the UK set to take its first fully independent steps at the end of the year once the transition period ends. December 31 2020. This could have been delayed, but the Government stuck to its guns in refusing to ask for any extension. ",0.375,Positive
"
Brexit: Boris Johnson clears crucial Commons hurdle in bid to push through Internal Market Bill
",0.75,Positive,"The Brexit legislation enabling Boris Johnson to alter key parts of the Withdrawal Agreement cleared a major Commons hurdle on Tuesday night. The Internal Market Bill cleared its committee stage after an amendment tabled by the Government to head off a Tory backbench rebellion was accepted without the need for a vote.† Mr Johnson was last week forced to agree to give MPs a vote before ministers can use powers related to Northern Ireland which would breach the divorce deal and international law. While the legislation will return to the Commons next week, ministers intend to delay its final stages in the House of Lords until after a crunch EU summit in mid-October where they hope to sign off on a trade deal.† This would likely mean that the Bill would not return to the Commons again until December, just weeks before the transition period ends. ",0,Neutral
"
Quest for trade deals takes Britain into turbulent seas
",0,Neutral,"The Global Britain project is marching on. Earlier this month the UK agreed†an historic trade with Japan, with only the finer details left to be tied up.†A second round of trade talks with Australia gets under way this week.†And discussions with Canada are back on the table. Progress is easier on free trade agreements (FTAs) that are more a matter of ""copying and pasting""ù those already negotiated between third-party countries and the EU. But experts stress this is no reason to underestimate the benefits of rollovers. ""In a world where there's increasing economic nationalism, the value of locking in existing market access shouldn't be taken for granted,""ù says Stephen Booth of the Policy Exchange think tank. Even a ""phase one""ù transitional arrangement with Ottawa, for example, would help to preserve the trading relationship carved out in the EU-Canada Comprehensive Economic and Trade Agreement. Goldy Hyder, president and chief executive of the Business Council of Canada, says: ""We need to know what Jan†1, 2021, is going to look like before this year expires. We just want to make sure there's a clear path forward.""ù The UK is targeting a number of trade deals around the world as it prepares to leave the EU at the end of this year. ",-0.375,Negative
